date,open,high,low,close,volume
2025-11-25,3850.571,3882.03,3845.138,3870.023,47872761100
2025-11-26,3867.429,3879.923,3861.177,3864.184,45758975500
2025-11-27,3867.197,3895.589,3864.131,3875.259,44402194700
2025-11-28,3870.944,3888.889,3856.25,3888.596,44993197300
2025-12-01,3894.213,3914.464,3890.949,3914.006,53755413300
2025-12-02,3908.456,3908.769,3888.328,3897.712,45558449400
2025-12-03,3894.156,3901.696,3869.953,3878.0,48561727000
2025-12-04,3879.742,3888.86,3859.049,3875.793,44504029000
2025-12-05,3873.121,3907.782,3863.314,3902.808,50036876800
2025-12-08,3909.226,3936.311,3904.738,3924.078,54734978900
