日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-12-01,600519,1451.0,1448.0,1462.27,1442.0,27333,3961994999.0,1.4,-0.17,-2.5,0.22
2025-12-02,600519,1448.0,1436.03,1451.92,1435.02,25047,3607543825.0,1.17,-0.83,-11.97,0.2
2025-12-03,600519,1435.81,1429.1,1435.97,1428.0,23573,3370080066.0,0.56,-0.48,-6.93,0.19
2025-12-04,600519,1429.1,1423.98,1432.5,1418.38,29075,4134921902.0,0.99,-0.36,-5.12,0.23
2025-12-05,600519,1423.98,1430.01,1433.09,1419.5,25402,3622681597.0,0.95,0.42,6.03,0.2
2025-12-08,600519,1429.2,1418.22,1436.67,1418.0,33603,4789155770.0,1.31,-0.82,-11.79,0.27
